"Name of Plant 
or Site",CCR Unit,Pond or Landfill,Operator,State,City,Closure Status,Proposed or Actual Closure Method,App III Contaminants Exceeding Background Levels?,App III Alternative Source Demonstration?,App IV Contaminants Exceeding Fed Stds?,App IV Alternative Source Demonstration?,Industry Identified App IV Contaminants,Total Volume Estimate CY (2020/2021),Liner Status,Impoundment Hazard Rating,Location Restriction Aquifer,Location Restriction Wetlands,Location Restriction Fault Areas,Location Restriction Seismic impact zones,Location Restriction Unstable areas,EPA Id Close To or In Groundwater?,Maximum Remaining Plant Life,Low Income or POC,3-mi POC perc,3-mi Low Income per,1 mi Radius Pop,2022 EIP Contamination Summary,2022 EIP Number of App IV Contaminants Exceeding Federal Standards,Overall EIP Contamination Ranking,Congressional District,Lat,Long
A.B. Brown Generating Station,Ash Pond,Pond,"SIGECO, dba Vectren Power Supply",IN,Mount Vernon,"Open, Part A",Removal,Yes,No,Yes,No,"lithium, molybdenum","6,384,100",Unlined,Significant,NON-COMPLIANCE,COMPLIANCE,COMPLIANCE,COMPLIANCE,COMPLIANCE,No,2,No,3%,25%,24,"Arsenic (x2), Boron (x7), Cobalt (x1), Lithium (x2), Molybdenum (x38), Sulfate (x28), Thallium (x1)",7,48,IN8,37.9053,-87.715
A.B. Brown Generating Station,Landfill,Landfill,"SIGECO, dba Vectren Power Supply",IN,Mount Vernon,Open,In Place,Yes,No,Yes,Yes,"arsenic, cobalt, lithium","5,148,500",NA - Landfill,NA - Landfill,NA - Landfill,NA - Landfill,NA - Landfill,NA - Landfill,COMPLIANCE,NA - Landfill,2,No,3%,25%,24,"Arsenic (x2), Boron (x7), Cobalt (x1), Lithium (x2), Molybdenum (x38), Sulfate (x28), Thallium (x1)",7,48,IN8,37.9053,-87.715
A.B. Brown Generating Station,Sedimentation Pond,Pond,"SIGECO, dba Vectren Power Supply",IN,Mount Vernon,Open,Removal,Yes,No,No,NA - no SSL,NA - no SSL,No Data,Lined,Unknown,COMPLIANCE,COMPLIANCE,COMPLIANCE,COMPLIANCE,COMPLIANCE,No,2,No,3%,25%,24,"Arsenic (x2), Boron (x7), Cobalt (x1), Lithium (x2), Molybdenum (x38), Sulfate (x28), Thallium (x1)",7,48,IN8,37.9053,-87.715
AES Puerto Rico,Agremax Storage Area,Landfill,AES Puerto Rico,PR,Guayama,Open,In Place,Yes,No,Yes,No,"lithium, molybdenum, selenium","121,213",NA - Landfill,NA - Landfill,NA - Landfill,NA - Landfill,NA - Landfill,NA - Landfill,COMPLIANCE,NA - Landfill,7,"Yes, LI",99%,81%,"2,259","Boron (x2), Lithium (x18), Molybdenum (x12), Selenium (x4), Sulfate (x25)",5,69,PR98,17.948232,-66.152032
AES Somerset LLC,Sludge Stabilization Basin,Pond,"Somerset Operating Company, LLC",NY,Barker,Closed,Removal,Yes,No,No,NA - no SSL,NA - no SSL,0,Unlined,Unknown,COMPLIANCE,COMPLIANCE,COMPLIANCE,COMPLIANCE,COMPLIANCE,No,0,"Yes, LI",6%,20%,89,"Antimony (x4), Arsenic (x1), Boron (x69), Cobalt (x4), Lithium (x6), Sulfate (x4)",6,47,NY27,43.36416667,-78.60888889
AES Somerset LLC,Solid Waste Disposal Area (SDWA) II,Landfill,"Somerset Operating Company, LLC",NY,Barker,Open,In Place,Yes,Yes,NA - SSI ASD,NA - SSI ASD,NA - SSI ASD,"2,500,000",NA - Landfill,NA - Landfill,NA - Landfill,NA - Landfill,NA - Landfill,NA - Landfill,COMPLIANCE,NA - Landfill,0,"Yes, LI",6%,20%,89,"Antimony (x4), Arsenic (x1), Boron (x69), Cobalt (x4), Lithium (x6), Sulfate (x4)",6,47,NY27,43.36416667,-78.60888889
Allen Fossil Plant,East Ash Disposal Area CCR Unit,Pond,Tennessee Valley Authority,TN,Memphis,Notice of Intent to Close,Removal,Yes,No,Yes,No,"arsenic, fluoride, lead, molybdenum","2,540,500",Unlined,Significant,Failure to post,Failure to post,Failure to post,Failure to post,Failure to post,No,0,"Yes, Both",99%,49%,0,"Arsenic (x294), Boron (x4), Fluoride (x1), Lead (x3), Molybdenum (x9)",5,10,TN9,35.0742,-90.1439
Allen Steam Station,Active Ash Basin,Pond,Duke Energy,NC,Belmont,Notice of Intent to Close,Removal,Yes,No,Yes,No,"arsenic, beryllium, cadmium, cobalt, lithium, thallium, lead","8,810,928",Unlined,High,NON-COMPLIANCE,COMPLIANCE,COMPLIANCE,COMPLIANCE,COMPLIANCE,No,2,"Yes, Both",42%,16%,997,"Arsenic (x7), Beryllium (x6), Boron (x1), Cadmium (x1), Cobalt (x466), Lithium (x12), Selenium (x5), Sulfate (x3), Thallium (x1)",9,5,NC10,35.1897,-81.0122
Allen Steam Station,Retired Ash Basin,Pond,Duke Energy,NC,Belmont,"Open, No Notice of Intent to Close Posted",Removal,Yes,No,Yes,No,"arsenic, beryllium, cadmium, cobalt, lithium, thallium, lead","5,126,925",Unlined,Significant,NON-COMPLIANCE,COMPLIANCE,COMPLIANCE,COMPLIANCE,COMPLIANCE,No,2,"Yes, Both",42%,16%,997,"Arsenic (x7), Beryllium (x6), Boron (x1), Cadmium (x1), Cobalt (x466), Lithium (x12), Selenium (x5), Sulfate (x3), Thallium (x1)",9,5,NC10,35.1897,-81.0122
Allen Steam Station,Retired Ash Basin Landfill,Landfill,Duke Energy,NC,Belmont,Open,Removal,Yes,No,Yes,No,"arsenic, beryllium, cadmium, cobalt, lithium, thallium, lead","1,211,615",NA - Landfill,NA - Landfill,NA - Landfill,NA - Landfill,NA - Landfill,NA - Landfill,COMPLIANCE,NA - Landfill,2,"Yes, Both",42%,16%,997,"Arsenic (x7), Beryllium (x6), Boron (x1), Cadmium (x1), Cobalt (x466), Lithium (x12), Selenium (x5), Sulfate (x3), Thallium (x1)",9,5,NC10,35.1897,-81.0122
