state,clinton_538,trump_538,clinton_actual,trump_actual
Wyoming,27.3,62.4,21.9,68.2
West Virginia,33.4,59.7,26.2,67.9
Oklahoma,33.1,59.4,28.9,65.3
North Dakota,34.3,57,27.2,63
Alabama,35.8,58.2,34.4,62.1
Arkansas,36.2,57,33.7,60.6
Idaho,35.7,55.8,27.5,59.2
Kentucky,37.6,56.2,32.7,62.5
Nebraska statewide,36.6,54.6,33.7,58.7
Louisiana,39.3,55.6,38.4,58.1
South Dakota,37.5,53,31.7,61.5
Montana,37,51.9,35.4,55.6
Mississippi,41.4,54.4,40.1,57.9
Kansas,38.8,51.7,35.7,56.2
Tennessee,40.9,53.3,34.7,60.7
Indiana,40.4,52,37.5,56.5
Utah,26.4,37.6,27.2,45.1
Missouri,41.4,51.4,37.9,56.4
Texas,42.3,51.2,43.2,52.2
Alaska,40.7,48.4,36.6,51.3
South Carolina,43.7,50.9,40.7,54.9
Georgia,45.4,49.6,45.3,50.4
Iowa,45.2,47.9,41.7,51.1
Arizona,45.3,47.6,44.6,48.1
Ohio,45.8,47.6,43.2,51.3
Florida,48.1,47.5,47.4,48.6
North Carolina,48.1,47.5,46.2,49.8
Nevada,47.1,45.9,47.9,45.5
New Hampshire,47.5,44,46.8,46.5
Pennsylvania,48.9,45.2,47.5,48.2
Colorado,47.7,43.7,48.2,43.3
Michigan,48.5,44.2,47,47.3
Wisconsin,49.6,44.3,46.5,47.2
Virginia,49.8,44.3,49.8,44.4
Minnesota,48.9,43.2,46.4,44.9
New Mexico,45.7,39.9,48.3,40
Maine statewide,49.7,41.9,47.8,44.9
Oregon,50.9,41.8,50.1,39.1
New Jersey,53.5,41.9,55,41
Delaware,53,40.3,53.1,41.7
Illinois,53.5,40.7,55.2,38.4
Connecticut,53,40.1,54.6,40.9
Washington,53.2,39.9,52.5,36.8
Rhode Island,54.3,39.2,54.4,38.9
New York,56.9,37.7,59,36.5
California,58.4,35.6,61.5,31.5
Massachusetts,58,34.6,60,32.8
Hawaii,58.5,33.6,62.2,30
Maryland,59.7,34.2,60.3,33.9
Vermont,60.3,32.6,56.7,30.3
D.C.,83.2,11.9,90.9,4.1
